,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,labels,cluster
0,149,1,9,0.21,6,1,1
1,225,1,45,0.38,2,0,1
3,89,1,270,4.64,1,0,1
4,80,10,9,0.1,1,0,2
5,200,3,74,0.59,1,0,1
6,60,45,49,0.4,1,1,1
7,79,2,430,3.47,1,1,1
8,79,2,118,0.99,1,1,1
9,150,1,160,1.33,4,0,1
10,135,5,53,0.43,1,0,1
11,85,2,188,1.5,1,1,1
12,89,4,167,1.34,3,1,1
13,85,2,113,0.91,1,1,1
14,120,90,27,0.22,1,0,0
15,140,2,148,1.2,1,0,1
16,215,2,198,1.72,1,0,1
17,140,1,260,2.12,1,1,1
18,99,3,53,4.44,1,0,1
20,299,3,9,0.07,1,0,2
21,130,2,130,1.09,6,1,1
22,80,1,39,0.37,6,1,1
23,110,2,71,0.61,6,1,1
24,120,2,88,0.73,2,0,1
25,60,1,19,1.37,2,1,2
27,150,10,58,0.49,1,0,1
28,44,3,108,1.11,3,1,1
29,180,14,29,0.24,1,0,1
30,50,3,242,2.04,3,1,1
31,52,2,88,1.42,1,1,1
32,55,4,197,1.65,3,1,1
33,50,3,273,2.37,3,1,1
34,70,1,74,0.66,2,1,1
35,89,4,168,1.41,3,1,1
37,85,2,231,1.96,2,0,1
39,40,1,214,1.81,4,2,1
40,68,2,245,2.08,2,1,1
41,120,3,15,0.39,1,0,2
42,120,7,25,0.23,1,1,2
43,135,4,81,0.69,1,1,1
44,150,7,97,0.84,1,0,1
45,150,29,11,0.49,1,0,1
46,130,3,248,2.25,1,1,1
47,110,7,61,0.52,1,0,1
48,115,3,11,0.1,1,0,2
49,80,3,135,1.16,2,1,1
50,80,1,112,1.01,3,1,1
51,151,2,73,0.63,1,0,1
52,228,3,82,0.7,1,0,1
53,144,2,328,2.82,1,0,1
54,200,7,19,0.22,1,0,2
55,150,30,105,0.9,1,0,1
56,110,5,19,0.17,1,1,2
57,69,2,289,2.49,2,1,1
58,49,4,138,1.19,3,1,1
59,180,30,21,0.3,1,0,1
60,80,2,42,0.38,1,1,2
61,375,180,5,0.12,1,0,0
62,250,2,66,0.57,2,0,1
63,200,30,143,1.33,2,0,1
64,55,7,27,0.23,2,1,2
65,52,30,191,1.65,1,1,1
66,225,3,4,0.16,1,0,2
67,80,1,338,4.72,2,1,1
68,275,1,148,1.4,1,0,1
69,99,1,106,1.26,2,1,1
70,225,4,190,1.64,1,0,1
71,230,9,49,0.43,1,0,1
72,51,7,23,0.43,1,1,2
73,65,2,49,1.6,2,1,2
74,105,2,105,0.92,1,1,1
75,190,5,21,0.2,1,0,2
76,200,1,142,1.5,1,1,1
77,70,30,25,0.22,1,1,1
78,95,3,143,1.28,1,1,1
79,150,3,167,1.65,1,1,1
80,145,3,61,0.54,4,1,1
81,110,31,54,0.49,1,0,1
82,285,5,70,0.62,1,0,1
83,130,6,16,0.15,1,0,2
84,94,30,94,0.84,1,1,1
85,800,1,25,0.24,1,0,0
86,105,3,61,0.53,1,0,1
87,60,3,194,1.73,1,1,1
88,50,1,2,0.05,1,1,2
89,85,3,174,1.54,4,1,1
90,65,4,24,0.28,1,1,2
91,131,4,166,3.4,1,0,1
92,98,7,16,0.2,6,1,1
93,250,7,21,0.3,1,0,2
94,100,5,168,1.57,1,0,1
95,105,3,118,1.05,2,0,1
96,140,3,81,0.71,1,0,1
97,89,1,1,0.11,1,1,2
98,98,30,30,0.27,2,1,1
99,125,7,139,1.23,2,0,1
100,60,3,11,0.87,3,1,2
101,175,2,233,2.09,3,0,1
102,65,2,68,0.6,1,1,1
103,500,4,46,0.55,2,0,0
104,101,3,335,3.02,1,1,1
105,220,30,88,0.79,1,0,1
106,125,90,162,1.46,2,0,0
107,80,30,29,0.4,1,0,1
108,100,2,170,1.61,1,1,1
109,200,30,19,0.2,1,0,1
110,59,2,334,3.0,2,1,1
111,125,2,19,0.2,6,1,1
112,140,7,12,0.13,1,0,2
113,120,30,467,4.22,2,0,1
114,350,2,7,0.06,4,0,1
115,199,5,38,0.38,1,0,2
116,325,3,324,3.01,1,0,1
117,235,6,27,0.27,1,0,2
118,225,1,115,1.05,4,0,1
119,99,2,354,3.2,3,1,1
120,170,2,195,2.03,1,0,1
121,400,2,16,0.24,2,0,2
122,170,7,13,0.12,1,0,2
123,100,4,25,0.23,1,0,2
124,75,2,9,0.08,1,1,2
125,90,1,9,0.08,1,1,2
126,150,5,21,0.19,1,0,2
127,85,15,36,0.33,1,1,1
128,70,3,63,0.58,2,1,1
129,120,3,155,1.42,3,0,1
130,89,3,260,2.35,1,1,1
131,185,5,73,0.66,1,0,1
132,50,3,193,1.86,1,1,1
133,105,3,32,0.29,1,0,2
134,130,2,50,0.45,3,1,1
135,115,29,26,0.25,1,0,1
136,77,2,2,0.02,1,1,2
137,76,2,426,3.89,3,1,1
138,125,3,227,2.09,2,0,1
139,135,4,84,0.77,3,1,1
140,250,29,3,0.03,1,0,1
141,199,3,10,0.1,1,0,2
142,140,2,4,0.04,1,0,2
143,140,2,1,0.01,1,1,2
144,115,3,124,1.72,2,0,1
145,160,3,11,0.11,1,0,2
146,195,4,240,2.19,1,0,1
147,195,3,30,0.28,1,0,2
148,80,3,200,1.86,4,1,1
149,44,8,27,1.05,5,1,1
150,156,4,79,0.74,1,1,1
151,85,15,9,0.09,1,1,1
152,125,3,155,1.61,1,1,1
153,115,15,4,0.05,1,0,1
154,69,2,34,0.32,1,1,2
155,225,45,134,1.24,1,0,1
156,125,6,27,0.25,1,0,2
157,219,4,126,1.16,2,0,1
158,475,3,23,0.27,1,0,2
159,99,1,234,2.6,2,0,1
160,69,4,202,1.86,2,1,1
161,79,30,28,0.26,1,1,1
162,135,2,309,2.86,2,0,1
163,250,3,14,0.13,1,1,2
164,250,3,4,0.08,1,0,2
165,250,2,80,2.17,1,0,1
166,80,3,2,0.04,1,0,2
167,70,2,294,3.47,3,1,1
168,165,2,150,1.4,3,0,1
169,70,2,166,1.66,1,1,1
170,50,2,47,0.94,1,1,2
171,40,1,219,2.04,3,1,1
172,150,2,193,1.78,1,0,1
173,125,1,84,0.78,4,1,1
174,196,3,114,1.06,1,0,1
175,110,2,213,2.0,2,1,1
176,170,3,86,0.8,1,0,1
177,165,3,80,0.75,3,0,1
178,150,26,38,0.36,1,0,1
179,100,2,18,1.79,1,0,2
180,65,2,206,1.92,2,1,1
181,350,8,10,0.11,5,0,1
182,99,4,122,1.18,2,1,1
183,200,4,33,0.58,1,0,2
184,150,5,52,0.5,1,0,1
185,90,3,126,1.17,4,1,1
186,120,3,51,0.48,3,1,1
187,75,3,199,1.85,1,1,1
188,175,26,30,0.29,1,0,1
189,125,3,3,0.03,1,0,2
190,275,1,41,0.38,1,0,2
191,299,2,109,1.04,1,0,1
192,135,5,151,1.43,3,0,1
194,83,1,285,2.69,1,1,1
195,123,1,375,3.52,1,1,1
196,55,2,52,0.49,2,1,1
197,195,5,10,1.01,1,0,2
198,80,2,11,0.48,1,1,2
199,98,30,33,0.31,5,0,1
200,140,7,6,0.06,5,1,1
201,265,7,38,0.38,5,0,1
202,249,2,358,3.44,2,0,1
203,105,6,10,0.09,1,2,2
205,100,2,226,2.12,3,1,1
206,121,1,104,1.0,5,0,1
207,45,1,138,1.45,3,1,1
208,100,5,204,1.92,1,1,1
209,140,2,253,3.04,1,0,1
210,71,2,23,0.22,1,1,2
211,130,2,115,1.17,1,1,1
212,199,5,129,1.22,1,0,1
213,69,4,82,1.13,2,1,1
214,68,3,37,0.35,1,1,2
215,130,1,204,2.04,1,0,1
216,195,2,69,0.65,1,0,1
217,64,1,192,1.84,5,1,1
218,140,2,17,0.16,1,0,2
219,159,2,222,2.12,1,0,1
220,189,3,205,1.96,1,0,1
221,250,3,94,0.96,1,0,1
222,239,3,7,0.07,1,0,2
223,305,2,108,1.09,1,0,1
224,155,3,222,2.1,2,0,1
225,60,1,458,4.58,2,1,1
226,135,2,21,0.26,1,1,2
227,120,7,17,0.3,1,1,2
228,150,3,41,0.39,1,0,2
229,140,14,1,0.01,5,0,1
230,135,2,69,0.67,1,0,1
231,250,4,18,0.18,2,0,2
