,suit1,card1,suit2,card2,suit3,card3,suit4,card4,labels,cluster
0,1,10,1,11,1,13,1,12,1,2
1,2,11,2,13,2,10,2,12,1,2
2,3,12,3,11,3,13,3,10,1,6
3,4,10,4,11,4,1,4,13,1,0
4,4,1,4,13,4,12,4,11,1,0
5,1,2,1,4,1,5,1,3,1,2
6,1,9,1,12,1,10,1,11,1,2
7,2,1,2,2,2,3,2,4,1,2
8,3,5,3,6,3,9,3,7,1,6
9,4,1,4,4,4,2,4,3,1,0
10,1,1,2,1,3,9,1,5,0,8
11,2,6,2,1,4,13,2,4,0,8
12,1,10,4,6,1,2,1,1,0,0
13,2,13,2,1,4,4,1,5,0,8
14,3,8,4,12,3,9,4,2,0,0
15,1,3,4,7,1,5,2,4,0,0
16,1,4,1,1,1,3,3,5,1,5
17,3,8,3,12,2,7,2,6,0,6
18,4,8,1,11,4,6,3,2,0,7
19,3,7,2,7,4,11,1,12,0,4
20,1,13,4,8,2,7,2,10,0,0
21,2,6,2,8,1,11,1,4,0,2
22,3,10,2,10,4,5,1,2,0,4
23,2,1,3,13,4,6,1,9,0,6
24,2,10,2,8,1,8,3,2,0,5
25,2,13,1,5,4,5,4,8,0,5
26,3,1,1,5,2,7,3,13,0,7
27,1,7,1,5,4,8,1,6,0,8
28,3,7,3,9,2,12,2,5,0,6
29,2,10,1,1,1,12,4,6,0,5
30,3,13,2,7,4,11,3,11,1,7
31,4,2,2,7,3,13,2,11,0,4
32,1,11,2,7,1,6,4,2,0,5
33,3,4,4,3,3,5,2,12,0,0
34,3,2,1,6,2,11,4,3,0,7
35,4,8,4,3,4,13,4,12,0,0
36,2,6,4,8,4,3,2,2,0,0
37,4,13,1,6,3,8,1,3,0,4
38,2,9,2,10,4,11,4,7,0,5
39,2,10,3,12,1,2,2,2,0,1
40,2,5,2,12,2,3,1,2,0,2
41,2,8,3,2,2,5,1,12,0,6
42,2,1,4,7,4,6,4,5,0,0
43,3,13,2,1,3,7,1,3,0,4
44,4,10,4,13,3,5,2,8,0,0
45,1,2,1,11,3,9,1,7,0,8
46,2,2,3,1,2,11,2,6,0,6
47,1,10,4,1,4,4,4,12,0,0
48,4,9,3,13,2,1,3,9,0,6
49,4,1,3,1,1,3,4,4,0,1
50,1,5,4,4,2,13,3,7,0,0
51,1,10,3,7,1,3,3,6,0,1
52,4,2,3,4,4,7,3,9,0,6
53,4,8,1,9,2,4,1,11,0,3
54,2,7,4,13,2,3,3,4,0,0
55,4,12,2,3,4,7,2,5,0,4
56,2,5,3,13,3,12,3,7,0,6
57,4,8,3,2,2,8,2,9,0,6
58,1,8,1,12,2,9,2,6,0,2
59,1,5,3,13,2,13,2,7,0,6
60,4,7,4,10,3,1,3,3,0,0
61,3,13,2,2,4,10,3,3,0,7
62,1,5,3,7,1,3,1,6,0,1
63,1,2,4,3,2,8,4,11,0,0
64,2,1,1,4,4,1,4,11,0,5
65,1,4,4,1,4,12,2,3,0,0
66,1,9,4,1,4,7,4,4,0,0
67,4,3,3,1,1,6,1,5,0,1
68,2,9,4,2,3,3,2,6,0,0
69,3,1,1,5,4,8,3,10,0,7
70,4,7,4,5,2,9,3,8,0,0
71,4,13,1,11,4,4,3,5,0,7
72,4,13,3,8,1,1,4,6,0,1
73,4,8,4,4,4,2,4,1,1,0
74,2,3,4,10,3,5,3,13,0,0
75,1,4,2,13,3,1,4,4,0,5
76,3,2,4,10,2,6,1,12,0,0
77,2,11,3,9,1,11,4,8,0,1
78,2,4,1,4,2,5,1,8,0,2
79,2,13,1,9,1,2,1,4,0,2
80,4,2,3,10,1,12,3,7,0,1
81,2,6,1,13,4,5,2,2,0,8
82,1,12,4,5,4,13,3,11,0,0
83,2,7,2,3,3,13,3,11,0,5
84,2,10,2,11,2,5,3,6,0,5
85,2,12,4,6,3,9,4,1,0,0
86,1,8,1,10,2,13,3,5,0,5
87,2,7,1,4,2,13,3,2,0,5
88,2,7,4,12,4,1,4,13,0,0
89,1,9,3,3,4,4,1,10,0,6
90,2,1,3,12,3,8,1,2,0,6
91,1,9,3,10,1,8,4,4,0,1
92,2,1,2,8,2,6,3,1,0,5
93,4,11,3,12,3,4,4,12,0,6
94,3,2,4,12,3,8,2,7,0,0
95,3,12,2,12,2,8,3,11,0,7
96,3,7,1,8,1,7,4,12,0,7
97,1,9,4,6,4,9,2,9,1,0
98,3,10,1,7,4,7,4,6,0,7
99,2,10,1,4,3,12,4,9,0,5
100,2,11,2,3,3,1,2,9,0,8
101,1,13,1,3,1,12,4,11,0,5
102,2,7,1,6,3,6,4,13,0,5
103,2,1,3,2,2,10,4,1,0,1
104,2,2,2,8,4,9,3,12,0,5
105,4,9,2,11,4,7,3,12,0,7
106,1,6,3,9,2,8,2,2,0,6
107,1,7,4,4,4,12,3,7,0,0
108,4,10,2,1,4,11,3,11,1,7
109,3,12,1,1,3,13,4,11,0,7
110,4,5,3,11,2,7,4,8,0,1
111,3,4,2,11,4,8,1,12,0,4
112,4,1,3,10,3,3,3,13,0,6
113,2,2,3,4,4,13,1,5,0,6
114,1,2,2,9,1,12,3,10,0,2
115,1,3,2,1,3,13,3,4,0,5
116,3,6,2,13,4,13,3,10,0,7
117,3,9,4,12,4,10,1,3,0,0
118,4,7,3,2,4,5,3,9,0,6
119,4,2,2,7,3,13,2,12,0,4
120,2,3,1,5,3,7,4,1,0,5
121,2,9,1,4,2,5,2,10,0,2
122,3,1,4,10,2,10,1,5,0,0
123,2,13,4,6,1,11,3,3,0,0
124,4,11,3,13,1,1,1,13,0,1
125,2,12,2,4,3,2,2,7,0,8
126,1,2,4,2,4,10,2,11,0,0
127,1,4,1,3,1,12,4,8,0,5
128,4,11,4,12,3,4,1,9,0,0
129,2,10,3,9,4,13,1,12,0,6
130,4,11,4,8,3,2,4,10,0,0
131,2,10,4,3,4,11,1,4,0,0
132,3,10,1,9,4,3,2,4,0,4
133,3,12,3,10,4,6,2,6,0,6
134,1,11,3,5,2,13,4,12,0,6
135,3,6,4,2,3,10,2,7,0,0
136,4,12,3,1,2,13,2,6,0,6
137,3,12,4,2,4,3,3,13,0,0
138,4,12,2,9,2,5,2,12,0,3
139,2,5,2,2,2,8,4,6,0,5
140,3,2,4,7,4,4,4,5,0,0
141,4,1,4,7,3,6,2,3,0,0
142,3,10,1,7,4,7,2,6,0,4
143,1,11,3,3,4,12,1,4,0,6
144,1,2,3,4,1,12,2,8,0,1
145,4,5,4,7,3,1,3,9,0,0
146,2,13,4,5,2,11,3,9,0,0
147,3,7,2,3,3,12,2,10,0,4
148,1,13,1,8,4,6,1,11,0,8
149,4,12,2,2,4,11,4,3,0,7
150,1,13,2,5,4,12,2,12,0,8
151,3,7,1,9,2,2,4,6,0,7
152,4,8,4,10,4,5,1,11,0,0
153,1,8,4,7,4,13,2,6,0,0
154,4,5,2,4,3,9,1,10,0,4
155,4,3,2,2,4,10,1,4,0,4
156,3,8,1,8,2,5,3,3,0,7
157,3,7,2,5,1,11,3,4,0,3
158,2,4,1,4,1,7,4,8,0,5
159,2,10,3,10,2,13,2,6,0,6
160,4,9,3,11,3,8,1,4,0,6
161,4,7,2,12,3,3,1,8,0,4
162,1,5,1,1,3,3,2,12,0,8
163,1,4,1,6,4,13,2,13,0,8
164,4,3,2,13,2,4,3,7,0,7
165,2,7,4,10,1,10,1,2,0,0
166,2,9,2,4,1,10,3,7,0,5
167,3,3,3,8,4,8,1,1,0,6
168,4,7,4,11,3,5,3,12,0,0
169,1,1,4,8,2,4,3,10,0,0
170,2,12,4,2,1,5,3,10,0,0
171,4,2,4,8,4,7,1,3,0,0
172,2,4,1,8,1,12,1,9,0,2
173,2,3,1,6,2,12,3,6,0,5
174,3,1,3,9,4,13,1,5,0,6
175,2,6,4,4,1,13,4,6,0,0
176,4,3,4,10,2,8,1,7,0,0
177,3,10,2,9,1,1,2,11,0,3
178,4,6,3,3,3,7,2,4,0,6
179,2,1,2,7,1,12,4,8,0,5
180,4,5,1,11,3,10,1,1,0,4
181,4,1,4,11,3,10,2,9,0,0
182,3,11,2,7,2,12,2,5,0,3
183,3,1,4,6,4,13,4,11,0,0
184,1,1,2,3,3,2,4,10,0,5
185,1,13,3,1,2,10,2,6,0,6
186,2,10,3,1,3,9,2,9,0,6
187,2,13,1,1,2,12,1,7,0,2
188,3,5,1,8,4,11,4,6,0,7
189,3,10,2,3,2,1,4,7,0,7
190,4,11,2,13,2,8,2,1,0,3
191,2,5,1,2,3,4,4,8,0,5
192,1,12,3,3,2,2,2,4,0,6
193,4,6,2,10,2,12,3,5,0,7
194,3,1,2,11,4,11,1,13,0,4
195,2,4,2,7,4,4,2,6,0,8
196,1,3,4,3,4,4,3,1,0,0
197,3,3,1,1,4,3,2,13,0,4
198,4,7,1,3,4,4,4,1,0,7
199,4,2,2,3,3,8,4,7,0,7
200,4,5,2,5,2,1,4,8,0,7
201,4,9,3,13,4,10,2,2,0,6
202,2,12,2,9,4,1,4,2,0,5
203,1,10,3,9,3,10,1,8,0,6
204,4,2,4,4,1,5,4,10,0,0
205,1,3,4,10,4,8,4,4,0,0
206,3,12,2,2,4,11,3,8,0,7
207,1,6,2,1,1,8,3,9,0,2
208,2,1,2,9,3,9,3,13,0,5
209,4,10,1,11,3,12,4,5,0,7
210,3,10,1,12,1,7,3,13,0,3
211,3,10,2,7,4,2,3,12,0,7
212,2,7,4,9,1,5,3,9,0,0
213,2,4,2,2,2,5,4,1,0,5
214,3,1,2,3,4,12,3,13,0,7
215,1,12,2,8,2,2,1,1,0,2
216,2,12,4,5,3,10,2,13,0,0
217,1,1,1,13,4,11,3,13,0,5
218,4,2,1,13,2,6,2,7,0,3
219,3,8,1,3,4,10,3,12,0,7
220,3,2,3,11,1,12,1,13,0,1
221,3,13,1,2,3,2,1,9,0,4
222,1,12,2,10,1,4,1,3,0,2
223,2,11,2,6,4,8,4,7,0,5
224,3,6,2,11,3,2,3,10,0,7
225,1,8,2,9,2,10,4,13,0,5
226,4,8,2,11,2,12,3,3,0,7
227,3,13,1,3,2,7,1,8,0,3
228,1,11,1,1,3,10,4,9,0,5
229,2,13,2,11,2,6,4,9,0,5
230,1,11,1,8,3,3,2,7,0,8
231,1,7,3,1,1,5,1,1,0,1
232,3,12,2,7,4,4,1,2,0,4
233,4,10,1,4,4,2,2,11,0,4
234,1,4,1,12,1,2,4,9,0,5
235,4,10,3,9,3,12,2,2,0,6
236,4,11,1,1,2,1,1,3,0,3
237,3,7,4,3,4,8,3,10,0,0
238,3,1,3,10,1,4,2,10,0,1
239,3,13,2,4,2,9,2,3,0,3
240,3,11,2,10,3,12,1,3,0,4
241,1,2,4,12,3,6,2,5,0,0
242,4,2,3,4,4,9,2,1,0,6
243,2,7,2,3,3,13,1,5,0,8
244,2,9,4,8,2,8,2,3,0,0
245,4,6,4,12,1,2,1,8,0,0
246,3,8,1,13,1,7,4,7,0,7
247,3,9,1,13,4,8,4,9,0,7
248,1,11,1,10,4,10,3,13,0,5
249,1,11,1,10,3,3,4,6,0,5
250,3,9,3,1,1,10,4,5,0,1
251,4,12,3,1,2,1,1,11,0,6
252,4,2,1,8,2,6,2,10,0,3
253,4,7,3,7,4,9,4,3,0,6
254,1,12,4,4,2,9,3,6,0,0
255,3,7,2,7,3,4,3,6,0,7
256,4,6,2,9,4,7,1,8,0,4
257,4,12,1,3,3,3,4,7,0,7
258,1,11,2,6,2,3,4,12,0,5
259,3,8,3,6,2,11,3,5,0,6
260,3,4,2,11,1,9,2,1,0,3
261,2,5,1,4,4,2,4,10,0,5
262,4,3,3,5,2,12,1,2,0,6
263,3,6,2,13,3,9,1,13,0,4
264,2,11,3,6,4,7,3,2,0,6
265,1,1,2,5,3,10,1,4,0,8
266,3,10,1,8,1,6,4,1,0,7
267,1,6,1,4,1,1,4,11,0,5
268,2,9,2,4,1,13,1,3,0,2
269,3,1,2,9,2,8,2,6,0,3
270,4,6,1,9,3,8,4,1,0,7
271,3,7,1,4,2,2,3,2,0,7
272,2,7,2,13,3,10,1,9,0,8
273,4,9,2,2,1,11,2,12,0,3
274,2,3,3,4,2,8,4,4,0,1
275,2,8,1,6,2,6,2,7,0,2
276,1,1,1,12,4,3,4,6,0,5
277,2,12,4,11,2,3,3,1,0,0
278,4,10,1,5,3,7,4,9,0,7
279,4,9,2,13,1,3,2,6,0,3
280,1,5,4,3,4,12,3,5,0,0
281,4,9,1,12,4,1,1,4,0,4
282,1,8,2,8,1,7,1,12,0,2
283,4,5,3,2,2,7,1,9,0,6
284,1,8,2,2,2,3,4,2,0,5
285,1,3,2,13,3,4,4,5,0,5
286,4,4,2,3,3,12,1,10,0,4
287,4,4,2,8,4,12,1,4,0,4
288,3,13,2,2,4,13,4,6,0,7
289,4,10,4,3,4,6,4,1,0,0
290,3,10,3,7,1,8,3,5,0,1
291,4,8,3,5,4,6,4,2,0,6
292,4,12,4,7,2,4,3,13,0,0
293,1,9,4,8,1,3,3,13,0,0
294,4,6,1,7,4,9,2,10,0,4
295,2,7,1,4,1,12,1,13,0,2
296,4,10,2,9,2,4,4,13,0,7
297,2,10,4,1,1,2,4,12,0,0
298,1,2,2,10,4,1,2,2,0,8
299,2,8,4,11,2,5,4,5,0,0
300,1,13,3,12,2,12,1,9,1,6
301,1,6,4,5,3,8,2,13,0,0
302,3,2,3,11,1,1,4,7,0,1
303,2,7,1,1,2,6,3,10,0,5
304,3,7,4,2,4,8,1,13,0,0
305,4,7,2,13,4,2,3,12,0,7
306,3,4,1,13,3,8,3,5,0,7
307,2,12,4,4,4,6,1,12,0,0
308,4,1,1,13,1,7,3,13,0,7
309,1,10,2,10,4,2,2,6,0,8
310,4,12,2,4,1,11,4,13,0,7
311,1,11,3,9,2,3,4,6,0,1
312,1,5,1,7,4,7,1,13,0,8
313,3,10,1,2,4,12,4,6,0,7
314,3,2,1,4,3,12,1,10,0,4
315,2,3,1,13,1,4,2,13,0,2
316,1,1,1,13,4,1,2,6,0,8
317,1,6,1,13,3,11,3,6,0,5
318,3,8,1,12,2,9,1,2,0,3
319,1,11,1,13,4,9,1,7,0,8
320,1,6,4,2,4,9,1,7,0,0
321,1,1,4,10,4,6,2,3,0,0
322,4,7,4,12,2,3,4,5,0,0
323,1,6,3,1,1,11,1,2,0,1
324,4,3,2,12,4,12,1,13,0,4
325,4,10,2,4,2,5,1,3,0,3
326,2,7,1,3,1,1,1,7,0,2
327,3,12,3,2,1,5,2,1,0,1
328,1,8,1,12,2,10,1,2,0,2
329,4,12,2,11,4,11,1,9,1,4
330,1,4,2,6,1,13,4,10,0,5
331,1,7,2,13,2,12,1,1,0,2
332,1,3,3,5,1,1,2,4,0,1
333,4,1,2,5,4,12,2,6,0,4
334,1,5,4,9,3,3,4,7,0,0
335,3,9,1,12,3,7,4,12,0,7
336,4,2,3,4,1,1,3,10,0,1
337,3,7,3,12,1,12,4,3,0,1
338,2,3,4,7,1,7,1,13,1,0
339,1,3,2,13,2,5,3,10,0,5
340,4,4,4,9,1,7,1,9,0,0
341,4,9,4,7,1,9,3,7,0,0
342,1,4,1,7,3,7,1,3,0,8
343,4,9,4,4,3,7,3,8,0,0
344,1,11,2,9,4,10,4,5,0,5
345,2,11,1,2,1,3,3,11,0,2
346,2,12,1,2,4,12,4,8,0,5
347,1,2,4,6,4,13,1,13,1,0
348,2,1,3,6,2,2,4,4,0,1
349,4,4,4,6,3,12,1,8,0,0
350,1,9,2,13,4,5,1,11,0,8
351,1,5,1,11,3,6,2,8,0,8
352,4,5,3,4,4,7,2,2,0,6
353,3,7,2,9,4,4,4,11,0,7
354,3,4,1,10,3,6,3,9,0,7
355,2,13,4,8,4,13,4,6,0,0
356,4,10,3,12,3,7,1,12,0,6
357,2,13,4,12,4,13,1,7,0,0
358,1,3,2,6,1,6,2,13,0,2
359,1,7,4,1,4,11,3,3,0,0
360,1,5,2,1,3,5,3,2,0,5
361,3,13,1,13,2,1,3,8,0,7
362,1,4,2,9,2,5,3,5,0,5
363,2,7,4,7,1,4,3,11,0,0
364,1,2,3,9,4,2,4,9,0,6
365,3,9,3,2,4,6,3,10,0,6
366,4,3,1,4,3,8,4,7,0,7
367,2,9,2,5,3,4,2,10,0,8
368,1,12,4,12,4,8,4,11,1,0
369,2,1,4,6,1,4,1,9,0,0
370,2,10,4,6,4,11,4,5,0,0
371,1,8,1,11,4,2,4,7,0,5
372,4,5,2,11,2,2,4,9,0,7
373,2,12,1,7,2,9,4,8,0,5
374,2,9,2,2,3,7,4,13,0,5
375,3,6,3,8,2,12,4,8,0,1
376,2,9,4,8,4,2,4,9,0,0
377,3,4,2,10,3,3,4,13,0,7
378,4,5,4,2,2,10,4,11,0,0
379,2,7,3,3,4,3,4,10,0,6
380,2,4,2,7,1,7,3,4,0,5
381,4,7,3,2,2,3,4,13,0,6
382,3,4,3,13,2,8,3,9,0,6
383,4,8,1,9,3,8,1,8,1,4
384,4,3,2,1,2,10,1,2,0,3
385,3,7,1,4,3,3,2,8,0,4
386,4,7,1,13,2,3,1,9,0,3
387,4,9,2,7,3,13,2,1,0,4
388,4,4,3,7,4,1,4,3,0,6
389,3,8,4,2,2,13,3,13,0,0
390,2,12,3,11,2,9,4,8,0,1
391,1,11,1,7,4,9,1,5,0,8
392,4,1,3,9,3,2,2,11,0,6
393,2,4,3,12,2,1,2,7,0,6
394,3,3,1,13,2,9,2,8,0,3
395,4,1,2,6,3,8,3,2,0,7
396,4,5,1,8,2,12,1,12,0,3
397,4,11,2,2,4,10,3,12,0,7
398,4,4,1,7,3,13,3,12,0,7
399,3,8,2,12,4,11,4,1,0,7
400,2,7,4,12,4,2,3,13,0,0
401,2,5,3,5,3,2,2,13,0,6
402,1,11,3,12,3,10,4,9,1,6
403,2,13,1,3,1,7,2,9,0,2
404,1,1,3,2,4,6,2,11,0,6
405,3,5,1,12,3,3,1,7,0,4
406,4,9,2,4,1,3,3,7,0,7
407,4,11,1,12,3,7,2,4,0,4
408,4,2,3,11,2,4,4,13,0,6
409,4,1,2,1,4,3,2,4,0,4
410,4,4,1,5,2,3,1,11,0,3
411,2,5,3,5,4,12,2,2,0,6
412,1,8,4,10,2,11,3,4,0,0
413,4,6,4,3,1,5,1,11,0,0
414,4,6,1,11,3,5,2,5,0,4
415,2,2,3,5,1,6,3,10,0,1
416,4,10,2,1,2,11,1,2,0,3
417,1,11,2,10,3,9,2,2,0,8
418,1,10,2,3,2,4,1,8,0,2
419,4,11,3,4,4,2,2,4,0,6
420,2,9,3,4,2,11,4,4,0,1
421,1,4,4,9,3,2,1,12,0,0
422,4,9,2,8,2,6,3,6,0,7
423,3,12,3,1,2,11,3,2,0,6
424,2,1,3,5,2,7,1,4,0,6
425,3,7,2,2,1,7,2,7,1,3
426,2,5,3,8,2,4,1,5,0,6
427,3,8,1,11,3,12,2,5,0,4
428,3,12,3,9,3,2,1,3,0,6
429,3,9,3,13,1,5,2,8,0,1
430,1,1,3,11,2,4,2,8,0,6
431,3,3,2,5,1,2,3,6,0,3
432,3,9,3,1,1,8,4,9,0,1
433,4,1,2,5,2,12,3,2,0,7
434,1,7,1,11,2,13,2,3,0,2
435,2,10,1,11,1,7,1,2,0,2
436,1,4,1,11,4,6,4,10,0,5
437,4,8,2,13,4,4,4,12,0,7
438,2,2,2,6,4,1,3,9,0,5
439,4,5,2,1,2,3,3,6,0,7
440,2,7,4,8,3,11,4,5,0,0
441,1,11,2,3,3,7,1,12,0,8
442,4,7,4,1,1,5,1,2,0,0
443,3,5,1,13,4,11,2,2,0,4
444,1,10,1,4,1,3,3,3,0,2
445,1,13,2,12,4,13,2,4,0,8
446,4,3,4,6,4,5,1,3,1,0
447,4,12,2,6,2,10,4,3,0,7
448,1,10,1,1,1,3,2,2,0,2
449,4,13,4,6,1,13,2,2,1,0
450,1,6,3,6,4,12,3,8,0,6
451,4,1,1,10,2,9,3,2,0,7
452,1,11,2,3,3,9,3,10,0,5
453,2,6,4,8,4,5,2,7,0,0
454,2,13,2,8,1,13,4,3,0,5
455,3,9,2,10,3,3,2,8,0,4
456,3,9,4,11,2,5,3,5,0,0
457,1,2,1,7,3,2,4,1,0,5
458,3,2,3,4,2,12,3,12,0,6
459,1,1,3,11,3,6,2,2,0,6
