,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,labels,cluster
0,149,1,9,0.21,6,1,8
1,225,1,45,0.38,2,0,2
3,89,1,270,4.64,1,0,3
4,80,10,9,0.1,1,0,5
5,200,3,74,0.59,1,0,3
6,60,45,49,0.4,1,1,6
7,79,2,430,3.47,1,1,3
8,79,2,118,0.99,1,1,3
9,150,1,160,1.33,4,0,4
10,135,5,53,0.43,1,0,2
11,85,2,188,1.5,1,1,3
12,89,4,167,1.34,3,1,3
13,85,2,113,0.91,1,1,3
14,120,90,27,0.22,1,0,0
15,140,2,148,1.2,1,0,3
16,215,2,198,1.72,1,0,3
17,140,1,260,2.12,1,1,3
18,99,3,53,4.44,1,0,3
20,299,3,9,0.07,1,0,5
21,130,2,130,1.09,6,1,4
22,80,1,39,0.37,6,1,4
23,110,2,71,0.61,6,1,4
24,120,2,88,0.73,2,0,3
25,60,1,19,1.37,2,1,2
27,150,10,58,0.49,1,0,6
28,44,3,108,1.11,3,1,3
29,180,14,29,0.24,1,0,6
30,50,3,242,2.04,3,1,3
31,52,2,88,1.42,1,1,3
32,55,4,197,1.65,3,1,3
33,50,3,273,2.37,3,1,3
34,70,1,74,0.66,2,1,3
35,89,4,168,1.41,3,1,3
37,85,2,231,1.96,2,0,3
39,40,1,214,1.81,4,2,3
40,68,2,245,2.08,2,1,3
41,120,3,15,0.39,1,0,2
42,120,7,25,0.23,1,1,2
43,135,4,81,0.69,1,1,3
44,150,7,97,0.84,1,0,3
45,150,29,11,0.49,1,0,7
46,130,3,248,2.25,1,1,3
47,110,7,61,0.52,1,0,2
48,115,3,11,0.1,1,0,2
49,80,3,135,1.16,2,1,3
50,80,1,112,1.01,3,1,3
51,151,2,73,0.63,1,0,3
52,228,3,82,0.7,1,0,3
53,144,2,328,2.82,1,0,3
54,200,7,19,0.22,1,0,2
55,150,30,105,0.9,1,0,6
56,110,5,19,0.17,1,1,2
57,69,2,289,2.49,2,1,3
58,49,4,138,1.19,3,1,3
59,180,30,21,0.3,1,0,6
60,80,2,42,0.38,1,1,2
61,375,180,5,0.12,1,0,0
62,250,2,66,0.57,2,0,3
63,200,30,143,1.33,2,0,6
64,55,7,27,0.23,2,1,2
65,52,30,191,1.65,1,1,6
66,225,3,4,0.16,1,0,5
67,80,1,338,4.72,2,1,3
68,275,1,148,1.4,1,0,3
69,99,1,106,1.26,2,1,3
70,225,4,190,1.64,1,0,3
71,230,9,49,0.43,1,0,6
72,51,7,23,0.43,1,1,2
73,65,2,49,1.6,2,1,3
74,105,2,105,0.92,1,1,3
75,190,5,21,0.2,1,0,2
76,200,1,142,1.5,1,1,3
77,70,30,25,0.22,1,1,6
78,95,3,143,1.28,1,1,3
79,150,3,167,1.65,1,1,3
