,suit1,card1,suit2,card2,suit3,card3,suit4,card4,labels,cluster
0,1,10,1,11,1,13,1,12,1,2
1,2,11,2,13,2,10,2,12,1,2
2,3,12,3,11,3,13,3,10,1,2
3,4,10,4,11,4,1,4,13,1,1
4,4,1,4,13,4,12,4,11,1,7
5,1,2,1,4,1,5,1,3,1,3
6,1,9,1,12,1,10,1,11,1,2
7,2,1,2,2,2,3,2,4,1,3
8,3,5,3,6,3,9,3,7,1,6
9,4,1,4,4,4,2,4,3,1,3
10,1,1,2,1,3,9,1,5,0,3
11,2,6,2,1,4,13,2,4,0,0
12,1,10,4,6,1,2,1,1,0,4
13,2,13,2,1,4,4,1,5,0,5
14,3,8,4,12,3,9,4,2,0,7
15,1,3,4,7,1,5,2,4,0,3
16,1,4,1,1,1,3,3,5,1,3
17,3,8,3,12,2,7,2,6,0,4
18,4,8,1,11,4,6,3,2,0,4
19,3,7,2,7,4,11,1,12,0,6
20,1,13,4,8,2,7,2,10,0,2
21,2,6,2,8,1,11,1,4,0,7
22,3,10,2,10,4,5,1,2,0,4
23,2,1,3,13,4,6,1,9,0,1
24,2,10,2,8,1,8,3,2,0,0
25,2,13,1,5,4,5,4,8,0,5
26,3,1,1,5,2,7,3,13,0,6
27,1,7,1,5,4,8,1,6,0,0
28,3,7,3,9,2,12,2,5,0,7
29,2,10,1,1,1,12,4,6,0,0
30,3,13,2,7,4,11,3,11,1,2
31,4,2,2,7,3,13,2,11,0,6
32,1,11,2,7,1,6,4,2,0,4
33,3,4,4,3,3,5,2,12,0,6
34,3,2,1,6,2,11,4,3,0,7
35,4,8,4,3,4,13,4,12,0,6
36,2,6,4,8,4,3,2,2,0,4
37,4,13,1,6,3,8,1,3,0,0
38,2,9,2,10,4,11,4,7,0,2
39,2,10,3,12,1,2,2,2,0,4
40,2,5,2,12,2,3,1,2,0,4
41,2,8,3,2,2,5,1,12,0,5
42,2,1,4,7,4,6,4,5,0,3
43,3,13,2,1,3,7,1,3,0,0
44,4,10,4,13,3,5,2,8,0,4
45,1,2,1,11,3,9,1,7,0,7
46,2,2,3,1,2,11,2,6,0,6
47,1,10,4,1,4,4,4,12,0,5
48,4,9,3,13,2,1,3,9,0,1
49,4,1,3,1,1,3,4,4,0,3
50,1,5,4,4,2,13,3,7,0,6
51,1,10,3,7,1,3,3,6,0,4
52,4,2,3,4,4,7,3,9,0,6
53,4,8,1,9,2,4,1,11,0,1
54,2,7,4,13,2,3,3,4,0,4
55,4,12,2,3,4,7,2,5,0,0
56,2,5,3,13,3,12,3,7,0,7
57,4,8,3,2,2,8,2,9,0,5
58,1,8,1,12,2,9,2,6,0,7
59,1,5,3,13,2,13,2,7,0,7
60,4,7,4,10,3,1,3,3,0,4
61,3,13,2,2,4,10,3,3,0,0
62,1,5,3,7,1,3,1,6,0,3
63,1,2,4,3,2,8,4,11,0,6
64,2,1,1,4,4,1,4,11,0,1
65,1,4,4,1,4,12,2,3,0,0
66,1,9,4,1,4,7,4,4,0,0
67,4,3,3,1,1,6,1,5,0,3
68,2,9,4,2,3,3,2,6,0,5
69,3,1,1,5,4,8,3,10,0,6
70,4,7,4,5,2,9,3,8,0,6
71,4,13,1,11,4,4,3,5,0,4
72,4,13,3,8,1,1,4,6,0,4
73,4,8,4,4,4,2,4,1,1,3
74,2,3,4,10,3,5,3,13,0,1
75,1,4,2,13,3,1,4,4,0,1
76,3,2,4,10,2,6,1,12,0,1
77,2,11,3,9,1,11,4,8,0,2
78,2,4,1,4,2,5,1,8,0,3
79,2,13,1,9,1,2,1,4,0,4
80,4,2,3,10,1,12,3,7,0,7
81,2,6,1,13,4,5,2,2,0,4
82,1,12,4,5,4,13,3,11,0,2
83,2,7,2,3,3,13,3,11,0,6
84,2,10,2,11,2,5,3,6,0,4
85,2,12,4,6,3,9,4,1,0,0
86,1,8,1,10,2,13,3,5,0,7
87,2,7,1,4,2,13,3,2,0,0
88,2,7,4,12,4,1,4,13,0,1
89,1,9,3,3,4,4,1,10,0,5
90,2,1,3,12,3,8,1,2,0,7
91,1,9,3,10,1,8,4,4,0,4
92,2,1,2,8,2,6,3,1,0,3
93,4,11,3,12,3,4,4,12,0,2
94,3,2,4,12,3,8,2,7,0,7
95,3,12,2,12,2,8,3,11,0,2
96,3,7,1,8,1,7,4,12,0,2
97,1,9,4,6,4,9,2,9,1,2
98,3,10,1,7,4,7,4,6,0,4
99,2,10,1,4,3,12,4,9,0,0
100,2,11,2,3,3,1,2,9,0,5
101,1,13,1,3,1,12,4,11,0,0
102,2,7,1,6,3,6,4,13,0,5
103,2,1,3,2,2,10,4,1,0,3
104,2,2,2,8,4,9,3,12,0,6
105,4,9,2,11,4,7,3,12,0,2
106,1,6,3,9,2,8,2,2,0,7
107,1,7,4,4,4,12,3,7,0,0
108,4,10,2,1,4,11,3,11,1,6
109,3,12,1,1,3,13,4,11,0,0
110,4,5,3,11,2,7,4,8,0,1
111,3,4,2,11,4,8,1,12,0,1
112,4,1,3,10,3,3,3,13,0,1
113,2,2,3,4,4,13,1,5,0,6
114,1,2,2,9,1,12,3,10,0,6
115,1,3,2,1,3,13,3,4,0,6
116,3,6,2,13,4,13,3,10,0,2
117,3,9,4,12,4,10,1,3,0,7
118,4,7,3,2,4,5,3,9,0,5
119,4,2,2,7,3,13,2,12,0,6
120,2,3,1,5,3,7,4,1,0,3
121,2,9,1,4,2,5,2,10,0,5
122,3,1,4,10,2,10,1,5,0,7
123,2,13,4,6,1,11,3,3,0,0
124,4,11,3,13,1,1,1,13,0,1
125,2,12,2,4,3,2,2,7,0,5
126,1,2,4,2,4,10,2,11,0,6
127,1,4,1,3,1,12,4,8,0,6
128,4,11,4,12,3,4,1,9,0,4
129,2,10,3,9,4,13,1,12,0,2
130,4,11,4,8,3,2,4,10,0,5
131,2,10,4,3,4,11,1,4,0,0
132,3,10,1,9,4,3,2,4,0,4
133,3,12,3,10,4,6,2,6,0,4
134,1,11,3,5,2,13,4,12,0,2
135,3,6,4,2,3,10,2,7,0,6
136,4,12,3,1,2,13,2,6,0,0
137,3,12,4,2,4,3,3,13,0,5
138,4,12,2,9,2,5,2,12,0,2
139,2,5,2,2,2,8,4,6,0,3
140,3,2,4,7,4,4,4,5,0,3
141,4,1,4,7,3,6,2,3,0,3
142,3,10,1,7,4,7,2,6,0,4
143,1,11,3,3,4,12,1,4,0,0
144,1,2,3,4,1,12,2,8,0,6
145,4,5,4,7,3,1,3,9,0,1
146,2,13,4,5,2,11,3,9,0,0
147,3,7,2,3,3,12,2,10,0,6
148,1,13,1,8,4,6,1,11,0,2
149,4,12,2,2,4,11,4,3,0,0
150,1,13,2,5,4,12,2,12,0,2
151,3,7,1,9,2,2,4,6,0,4
152,4,8,4,10,4,5,1,11,0,1
153,1,8,4,7,4,13,2,6,0,0
154,4,5,2,4,3,9,1,10,0,6
155,4,3,2,2,4,10,1,4,0,3
156,3,8,1,8,2,5,3,3,0,4
157,3,7,2,5,1,11,3,4,0,0
158,2,4,1,4,1,7,4,8,0,6
159,2,10,3,10,2,13,2,6,0,2
160,4,9,3,11,3,8,1,4,0,4
161,4,7,2,12,3,3,1,8,0,1
162,1,5,1,1,3,3,2,12,0,5
163,1,4,1,6,4,13,2,13,0,6
164,4,3,2,13,2,4,3,7,0,1
165,2,7,4,10,1,10,1,2,0,7
166,2,9,2,4,1,10,3,7,0,0
167,3,3,3,8,4,8,1,1,0,7
168,4,7,4,11,3,5,3,12,0,1
169,1,1,4,8,2,4,3,10,0,1
170,2,12,4,2,1,5,3,10,0,5
171,4,2,4,8,4,7,1,3,0,7
172,2,4,1,8,1,12,1,9,0,6
173,2,3,1,6,2,12,3,6,0,6
174,3,1,3,9,4,13,1,5,0,7
175,2,6,4,4,1,13,4,6,0,0
176,4,3,4,10,2,8,1,7,0,7
177,3,10,2,9,1,1,2,11,0,5
178,4,6,3,3,3,7,2,4,0,3
179,2,1,2,7,1,12,4,8,0,6
180,4,5,1,11,3,10,1,1,0,7
181,4,1,4,11,3,10,2,9,0,7
182,3,11,2,7,2,12,2,5,0,0
183,3,1,4,6,4,13,4,11,0,6
184,1,1,2,3,3,2,4,10,0,3
185,1,13,3,1,2,10,2,6,0,0
186,2,10,3,1,3,9,2,9,0,5
187,2,13,1,1,2,12,1,7,0,0
188,3,5,1,8,4,11,4,6,0,7
189,3,10,2,3,2,1,4,7,0,5
190,4,11,2,13,2,8,2,1,0,4
191,2,5,1,2,3,4,4,8,0,3
192,1,12,3,3,2,2,2,4,0,5
193,4,6,2,10,2,12,3,5,0,7
194,3,1,2,11,4,11,1,13,0,6
195,2,4,2,7,4,4,2,6,0,3
196,1,3,4,3,4,4,3,1,0,3
197,3,3,1,1,4,3,2,13,0,5
198,4,7,1,3,4,4,4,1,0,3
199,4,2,2,3,3,8,4,7,0,6
200,4,5,2,5,2,1,4,8,0,3
201,4,9,3,13,4,10,2,2,0,7
202,2,12,2,9,4,1,4,2,0,4
203,1,10,3,9,3,10,1,8,0,2
204,4,2,4,4,1,5,4,10,0,6
205,1,3,4,10,4,8,4,4,0,7
206,3,12,2,2,4,11,3,8,0,0
207,1,6,2,1,1,8,3,9,0,6
208,2,1,2,9,3,9,3,13,0,6
209,4,10,1,11,3,12,4,5,0,2
210,3,10,1,12,1,7,3,13,0,2
211,3,10,2,7,4,2,3,12,0,5
212,2,7,4,9,1,5,3,9,0,1
213,2,4,2,2,2,5,4,1,0,3
214,3,1,2,3,4,12,3,13,0,6
215,1,12,2,8,2,2,1,1,0,4
216,2,12,4,5,3,10,2,13,0,2
217,1,1,1,13,4,11,3,13,0,1
218,4,2,1,13,2,6,2,7,0,1
219,3,8,1,3,4,10,3,12,0,6
220,3,2,3,11,1,12,1,13,0,6
221,3,13,1,2,3,2,1,9,0,5
222,1,12,2,10,1,4,1,3,0,4
223,2,11,2,6,4,8,4,7,0,0
224,3,6,2,11,3,2,3,10,0,1
225,1,8,2,9,2,10,4,13,0,2
226,4,8,2,11,2,12,3,3,0,7
227,3,13,1,3,2,7,1,8,0,5
228,1,11,1,1,3,10,4,9,0,0
229,2,13,2,11,2,6,4,9,0,2
230,1,11,1,8,3,3,2,7,0,4
231,1,7,3,1,1,5,1,1,0,3
232,3,12,2,7,4,4,1,2,0,4
233,4,10,1,4,4,2,2,11,0,5
234,1,4,1,12,1,2,4,9,0,1
235,4,10,3,9,3,12,2,2,0,0
236,4,11,1,1,2,1,1,3,0,5
237,3,7,4,3,4,8,3,10,0,6
238,3,1,3,10,1,4,2,10,0,1
239,3,13,2,4,2,9,2,3,0,0
240,3,11,2,10,3,12,1,3,0,0
241,1,2,4,12,3,6,2,5,0,7
242,4,2,3,4,4,9,2,1,0,3
243,2,7,2,3,3,13,1,5,0,0
244,2,9,4,8,2,8,2,3,0,0
245,4,6,4,12,1,2,1,8,0,1
246,3,8,1,13,1,7,4,7,0,2
247,3,9,1,13,4,8,4,9,0,2
248,1,11,1,10,4,10,3,13,0,2
249,1,11,1,10,3,3,4,6,0,4
250,3,9,3,1,1,10,4,5,0,0
251,4,12,3,1,2,1,1,11,0,5
252,4,2,1,8,2,6,2,10,0,1
253,4,7,3,7,4,9,4,3,0,0
254,1,12,4,4,2,9,3,6,0,0
255,3,7,2,7,3,4,3,6,0,4
256,4,6,2,9,4,7,1,8,0,1
257,4,12,1,3,3,3,4,7,0,5
258,1,11,2,6,2,3,4,12,0,5
259,3,8,3,6,2,11,3,5,0,0
260,3,4,2,11,1,9,2,1,0,7
261,2,5,1,4,4,2,4,10,0,5
262,4,3,3,5,2,12,1,2,0,7
263,3,6,2,13,3,9,1,13,0,2
264,2,11,3,6,4,7,3,2,0,0
265,1,1,2,5,3,10,1,4,0,7
266,3,10,1,8,1,6,4,1,0,4
267,1,6,1,4,1,1,4,11,0,5
268,2,9,2,4,1,13,1,3,0,0
269,3,1,2,9,2,8,2,6,0,7
270,4,6,1,9,3,8,4,1,0,7
271,3,7,1,4,2,2,3,2,0,3
272,2,7,2,13,3,10,1,9,0,2
273,4,9,2,2,1,11,2,12,0,6
274,2,3,3,4,2,8,4,4,0,3
275,2,8,1,6,2,6,2,7,0,5
276,1,1,1,12,4,3,4,6,0,1
277,2,12,4,11,2,3,3,1,0,4
278,4,10,1,5,3,7,4,9,0,5
279,4,9,2,13,1,3,2,6,0,4
280,1,5,4,3,4,12,3,5,0,0
281,4,9,1,12,4,1,1,4,0,4
282,1,8,2,8,1,7,1,12,0,2
283,4,5,3,2,2,7,1,9,0,6
284,1,8,2,2,2,3,4,2,0,3
285,1,3,2,13,3,4,4,5,0,1
286,4,4,2,3,3,12,1,10,0,6
287,4,4,2,8,4,12,1,4,0,7
288,3,13,2,2,4,13,4,6,0,0
289,4,10,4,3,4,6,4,1,0,0
290,3,10,3,7,1,8,3,5,0,0
291,4,8,3,5,4,6,4,2,0,3
292,4,12,4,7,2,4,3,13,0,5
293,1,9,4,8,1,3,3,13,0,5
294,4,6,1,7,4,9,2,10,0,6
295,2,7,1,4,1,12,1,13,0,6
296,4,10,2,9,2,4,4,13,0,5
297,2,10,4,1,1,2,4,12,0,5
298,1,2,2,10,4,1,2,2,0,3
299,2,8,4,11,2,5,4,5,0,4
300,1,13,3,12,2,12,1,9,1,2
301,1,6,4,5,3,8,2,13,0,6
302,3,2,3,11,1,1,4,7,0,1
303,2,7,1,1,2,6,3,10,0,5
304,3,7,4,2,4,8,1,13,0,6
305,4,7,2,13,4,2,3,12,0,1
306,3,4,1,13,3,8,3,5,0,7
307,2,12,4,4,4,6,1,12,0,5
308,4,1,1,13,1,7,3,13,0,1
309,1,10,2,10,4,2,2,6,0,4
310,4,12,2,4,1,11,4,13,0,2
311,1,11,3,9,2,3,4,6,0,4
312,1,5,1,7,4,7,1,13,0,6
313,3,10,1,2,4,12,4,6,0,0
314,3,2,1,4,3,12,1,10,0,6
315,2,3,1,13,1,4,2,13,0,1
316,1,1,1,13,4,1,2,6,0,1
317,1,6,1,13,3,11,3,6,0,7
318,3,8,1,12,2,9,1,2,0,7
319,1,11,1,13,4,9,1,7,0,2
320,1,6,4,2,4,9,1,7,0,6
321,1,1,4,10,4,6,2,3,0,7
322,4,7,4,12,2,3,4,5,0,4
323,1,6,3,1,1,11,1,2,0,0
324,4,3,2,12,4,12,1,13,0,2
325,4,10,2,4,2,5,1,3,0,0
326,2,7,1,3,1,1,1,7,0,5
327,3,12,3,2,1,5,2,1,0,0
328,1,8,1,12,2,10,1,2,0,7
329,4,12,2,11,4,11,1,9,1,2
330,1,4,2,6,1,13,4,10,0,6
331,1,7,2,13,2,12,1,1,0,7
332,1,3,3,5,1,1,2,4,0,3
333,4,1,2,5,4,12,2,6,0,6
334,1,5,4,9,3,3,4,7,0,1
335,3,9,1,12,3,7,4,12,0,2
336,4,2,3,4,1,1,3,10,0,1
337,3,7,3,12,1,12,4,3,0,7
338,2,3,4,7,1,7,1,13,1,6
339,1,3,2,13,2,5,3,10,0,1
340,4,4,4,9,1,7,1,9,0,1
341,4,9,4,7,1,9,3,7,0,0
342,1,4,1,7,3,7,1,3,0,3
343,4,9,4,4,3,7,3,8,0,5
344,1,11,2,9,4,10,4,5,0,0
345,2,11,1,2,1,3,3,11,0,5
346,2,12,1,2,4,12,4,8,0,0
347,1,2,4,6,4,13,1,13,1,6
348,2,1,3,6,2,2,4,4,0,3
349,4,4,4,6,3,12,1,8,0,6
350,1,9,2,13,4,5,1,11,0,2
351,1,5,1,11,3,6,2,8,0,1
352,4,5,3,4,4,7,2,2,0,3
353,3,7,2,9,4,4,4,11,0,1
354,3,4,1,10,3,6,3,9,0,1
355,2,13,4,8,4,13,4,6,0,0
356,4,10,3,12,3,7,1,12,0,2
357,2,13,4,12,4,13,1,7,0,2
358,1,3,2,6,1,6,2,13,0,6
359,1,7,4,1,4,11,3,3,0,0
360,1,5,2,1,3,5,3,2,0,3
361,3,13,1,13,2,1,3,8,0,4
362,1,4,2,9,2,5,3,5,0,1
363,2,7,4,7,1,4,3,11,0,1
364,1,2,3,9,4,2,4,9,0,1
365,3,9,3,2,4,6,3,10,0,5
366,4,3,1,4,3,8,4,7,0,6
367,2,9,2,5,3,4,2,10,0,5
368,1,12,4,12,4,8,4,11,1,2
369,2,1,4,6,1,4,1,9,0,1
370,2,10,4,6,4,11,4,5,0,0
371,1,8,1,11,4,2,4,7,0,4
372,4,5,2,11,2,2,4,9,0,1
373,2,12,1,7,2,9,4,8,0,2
374,2,9,2,2,3,7,4,13,0,5
375,3,6,3,8,2,12,4,8,0,6
376,2,9,4,8,4,2,4,9,0,5
377,3,4,2,10,3,3,4,13,0,1
378,4,5,4,2,2,10,4,11,0,6
379,2,7,3,3,4,3,4,10,0,5
380,2,4,2,7,1,7,3,4,0,3
381,4,7,3,2,2,3,4,13,0,5
382,3,4,3,13,2,8,3,9,0,1
383,4,8,1,9,3,8,1,8,1,2
384,4,3,2,1,2,10,1,2,0,3
385,3,7,1,4,3,3,2,8,0,5
386,4,7,1,13,2,3,1,9,0,1
387,4,9,2,7,3,13,2,1,0,0
388,4,4,3,7,4,1,4,3,0,3
389,3,8,4,2,2,13,3,13,0,6
390,2,12,3,11,2,9,4,8,0,2
391,1,11,1,7,4,9,1,5,0,0
392,4,1,3,9,3,2,2,11,0,1
393,2,4,3,12,2,1,2,7,0,1
394,3,3,1,13,2,9,2,8,0,7
395,4,1,2,6,3,8,3,2,0,3
396,4,5,1,8,2,12,1,12,0,6
397,4,11,2,2,4,10,3,12,0,5
398,4,4,1,7,3,13,3,12,0,6
399,3,8,2,12,4,11,4,1,0,7
400,2,7,4,12,4,2,3,13,0,1
401,2,5,3,5,3,2,2,13,0,1
402,1,11,3,12,3,10,4,9,1,2
403,2,13,1,3,1,7,2,9,0,5
404,1,1,3,2,4,6,2,11,0,6
405,3,5,1,12,3,3,1,7,0,1
406,4,9,2,4,1,3,3,7,0,5
407,4,11,1,12,3,7,2,4,0,4
408,4,2,3,11,2,4,4,13,0,1
409,4,1,2,1,4,3,2,4,0,3
410,4,4,1,5,2,3,1,11,0,1
411,2,5,3,5,4,12,2,2,0,0
412,1,8,4,10,2,11,3,4,0,7
413,4,6,4,3,1,5,1,11,0,5
414,4,6,1,11,3,5,2,5,0,4
415,2,2,3,5,1,6,3,10,0,6
416,4,10,2,1,2,11,1,2,0,0
417,1,11,2,10,3,9,2,2,0,4
418,1,10,2,3,2,4,1,8,0,5
419,4,11,3,4,4,2,2,4,0,4
420,2,9,3,4,2,11,4,4,0,0
421,1,4,4,9,3,2,1,12,0,1
422,4,9,2,8,2,6,3,6,0,4
423,3,12,3,1,2,11,3,2,0,0
424,2,1,3,5,2,7,1,4,0,3
425,3,7,2,2,1,7,2,7,1,5
426,2,5,3,8,2,4,1,5,0,3
427,3,8,1,11,3,12,2,5,0,7
428,3,12,3,9,3,2,1,3,0,4
429,3,9,3,13,1,5,2,8,0,4
430,1,1,3,11,2,4,2,8,0,1
431,3,3,2,5,1,2,3,6,0,3
432,3,9,3,1,1,8,4,9,0,5
433,4,1,2,5,2,12,3,2,0,7
434,1,7,1,11,2,13,2,3,0,7
435,2,10,1,11,1,7,1,2,0,4
436,1,4,1,11,4,6,4,10,0,1
437,4,8,2,13,4,4,4,12,0,1
438,2,2,2,6,4,1,3,9,0,1
439,4,5,2,1,2,3,3,6,0,3
440,2,7,4,8,3,11,4,5,0,7
441,1,11,2,3,3,7,1,12,0,5
442,4,7,4,1,1,5,1,2,0,3
443,3,5,1,13,4,11,2,2,0,7
444,1,10,1,4,1,3,3,3,0,4
445,1,13,2,12,4,13,2,4,0,2
446,4,3,4,6,4,5,1,3,1,3
447,4,12,2,6,2,10,4,3,0,0
448,1,10,1,1,1,3,2,2,0,3
449,4,13,4,6,1,13,2,2,1,0
450,1,6,3,6,4,12,3,8,0,6
451,4,1,1,10,2,9,3,2,0,7
452,1,11,2,3,3,9,3,10,0,5
453,2,6,4,8,4,5,2,7,0,1
454,2,13,2,8,1,13,4,3,0,0
455,3,9,2,10,3,3,2,8,0,4
456,3,9,4,11,2,5,3,5,0,4
457,1,2,1,7,3,2,4,1,0,3
458,3,2,3,4,2,12,3,12,0,6
459,1,1,3,11,3,6,2,2,0,7
